"default","Der Fehler konnte nicht näher eingegrenzt werden!"
"lwmvc_1","Die eingebene E-Mailadresse hat eine ung&uuml;ltige Syntax"
"lwmvc_2","Die Maximall&auml;nge ist überschritten. Bitte geben sie maximal {_maxlength_} Zeichen ein."
"lwmvc_3","Die Minimall&auml;nge ist unterschritten. Bitte geben sie minimal {_minlength_} Zeichen ein."
"lwmvc_4","Bitte tragen Sie einen Wert in dieses Feld ein."
"lwmvc_5","Bitte nur Buchstaben oder Zahlen eingeben"
"lwmvc_6","Der eingegebene Wert liegt au&szlig;erhalb des g&uuml;ltigen Bereichs"
"lwmvc_7","Bitte nur ganze Zahlen verwenden"
"lwmvc_8","Der eingegebene Wert ist zu klein"
"lwmvc_9","Der eingegebene Wert ist zu gro&szlig;"
"lwmvc_10","Bitte nur ganze Zahlen eingeben."
"lwmvc_11","Bitte eine g&uuml;ltige Datei ausw&auml;hlen"
"lwmvc_12","Bitte eine Bilddatei ausw&auml;hlen."
"lwmvc_13","Bitte ein korrektes Datum eintragen."
"lwmvc_14","Es ist ein unbekannter Fehler aufgetreten."
"lwmvc_15","Bitte nur 1 oder 0 eintragen."
"lwmvc_16","Die Reihenfolge der Datumsangaben ist nicht korrekt."